7.0,4.0,15.0,20.0,91.7,48.5,696.1,11.1,16.8,45.0,4.5,0.0,6.83
3.0,4.0,13.0,17.0,91.7,35.8,80.8,7.8,11.6,30.0,6.3,0.0,0.0
6.0,4.0,21.0,16.0,91.0,129.5,692.6,7.0,18.3,40.0,2.7,0.0,0.0
7.0,4.0,24.0,18.0,94.3,96.3,200.0,56.1,21.0,44.0,4.5,0.0,0.0
1.0,2.0,19.0,22.0,95.5,99.9,513.3,13.2,23.3,31.0,4.5,0.0,0.55
1.0,4.0,21.0,20.0,91.5,130.1,807.1,7.5,21.3,35.0,2.2,0.0,28.19
3.0,4.0,21.0,18.0,89.7,90.0,704.4,4.8,22.8,39.0,3.6,0.0,0.0
6.0,3.0,19.0,14.0,91.1,141.1,629.1,7.1,19.3,39.0,3.6,0.0,1.56
8.0,6.0,13.0,14.0,91.7,33.3,77.5,9.0,8.3,97.0,4.0,0.2,0.0
6.0,5.0,27.0,16.0,75.1,4.4,16.2,1.9,4.6,82.0,6.3,0.0,5.39
9.0,5.0,24.0,22.0,93.3,49.5,297.7,14.0,28.0,34.0,4.5,0.0,0.0
6.0,6.0,25.0,20.0,94.2,62.3,442.9,11.0,23.0,36.0,3.1,0.0,0.0
6.0,5.0,19.0,22.0,92.1,111.2,654.1,9.6,16.6,47.0,0.9,0.0,2.29
6.0,3.0,21.0,26.0,92.8,119.0,783.5,7.5,18.9,34.0,7.2,0.0,34.36
4.0,5.0,21.0,20.0,88.6,91.8,709.9,7.1,17.4,56.0,5.4,0.0,0.0
8.0,6.0,25.0,18.0,88.9,263.1,795.9,5.2,29.3,27.0,3.6,0.0,6.3
8.0,5.0,21.0,18.0,89.7,90.0,704.4,4.8,17.8,67.0,2.2,0.0,2.01
8.0,4.0,19.0,17.0,91.6,273.8,819.1,7.7,21.3,44.0,4.5,0.0,12.18
6.0,5.0,13.0,26.0,90.9,18.9,30.6,8.0,8.7,51.0,5.8,0.0,0.0
3.0,4.0,19.0,18.0,91.6,181.3,613.0,7.6,24.6,44.0,4.0,0.0,3.2
6.0,5.0,19.0,26.0,95.2,131.7,578.8,10.4,27.4,22.0,4.0,0.0,0.9
3.0,5.0,13.0,16.0,88.1,25.7,67.6,3.8,14.9,38.0,2.7,0.0,0.0
4.0,5.0,13.0,14.0,85.9,19.5,57.3,2.8,12.7,52.0,6.3,0.0,0.0
7.0,5.0,23.0,18.0,81.9,3.0,7.9,3.5,13.4,75.0,1.8,0.0,0.0
3.0,5.0,21.0,14.0,93.5,149.3,728.6,8.1,17.2,43.0,3.1,0.0,0.0
9.0,4.0,24.0,17.0,90.5,61.1,252.6,9.4,24.5,50.0,3.1,0.0,70.32
2.0,2.0,19.0,17.0,93.7,231.1,715.1,8.4,21.9,42.0,2.2,0.0,174.63
1.0,4.0,19.0,14.0,90.6,269.8,811.2,5.5,22.2,45.0,3.6,0.0,0.0
8.0,6.0,13.0,18.0,89.3,51.3,102.2,9.6,11.4,99.0,1.8,0.0,0.0
7.0,4.0,19.0,17.0,93.5,139.4,594.2,20.3,23.7,32.0,5.8,0.0,0.0
4.0,5.0,21.0,26.0,92.9,137.0,706.4,9.2,21.5,15.0,0.9,0.0,11.06
7.0,4.0,13.0,20.0,90.1,39.7,86.6,6.2,16.1,29.0,3.1,0.0,1.75
8.0,6.0,19.0,17.0,89.4,253.6,768.4,9.7,14.2,73.0,2.7,0.0,0.0
4.0,4.0,19.0,16.0,95.1,141.3,605.8,17.7,19.4,71.0,7.6,0.0,46.7
6.0,5.0,23.0,26.0,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,4.61
1.0,4.0,21.0,18.0,91.0,276.3,825.1,7.1,14.5,76.0,7.6,0.0,3.71
6.0,4.0,13.0,17.0,90.8,41.9,89.4,7.9,13.3,42.0,0.9,0.0,7.4
7.0,4.0,19.0,18.0,91.4,142.4,601.4,10.6,20.1,39.0,5.4,0.0,2.74
4.0,4.0,29.0,20.0,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,22.03
4.0,5.0,13.0,14.0,91.7,33.3,77.5,9.0,17.2,26.0,4.5,0.0,0.0
7.0,4.0,21.0,18.0,92.4,105.8,758.1,9.9,25.3,27.0,2.7,0.0,0.0
8.0,6.0,19.0,20.0,92.1,207.0,672.6,8.2,25.5,29.0,1.8,0.0,1.23
4.0,4.0,21.0,18.0,89.7,90.0,704.4,4.8,17.8,64.0,1.3,0.0,0.0
8.0,5.0,19.0,22.0,93.1,157.3,666.7,13.5,24.0,36.0,3.1,0.0,0.24
7.0,4.0,19.0,20.0,91.5,238.2,730.6,7.5,17.7,65.0,4.0,0.0,0.0
6.0,3.0,23.0,22.0,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0
7.0,4.0,27.0,20.0,84.7,9.5,58.3,4.1,7.5,71.0,6.3,0.0,9.96
9.0,9.0,27.0,26.0,84.2,6.8,26.6,7.7,6.7,79.0,3.1,0.0,0.0
6.0,6.0,19.0,17.0,96.0,164.0,643.0,14.0,30.8,30.0,4.9,0.0,8.59
4.0,5.0,21.0,14.0,94.3,85.1,692.3,15.9,17.7,37.0,3.6,0.0,0.0
3.0,4.0,13.0,17.0,69.0,2.4,15.5,0.7,17.4,24.0,5.4,0.0,0.0
2.0,2.0,19.0,17.0,93.5,139.4,594.2,20.3,22.9,31.0,7.2,0.0,15.45
